time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-20 22:17:38.000,59.826,-153.0741,94.4,3.1,ml,,,,0.63,ak,ak13488369,2016-04-20 23:00:57.891,"69km W of Anchor Point, Alaska",earthquake,0.5,0.4,,,automatic,ak,ak
2016-04-20 22:12:08.000,59.7721,-153.1774,102.5,2.9,ml,,,,0.71,ak,ak13488361,2016-04-20 23:00:46.095,"75km W of Anchor Point, Alaska",earthquake,0.7,0.5,,,automatic,ak,ak
2016-04-20 21:30:06.690,0.5639,-79.9414,25.77,4.9,mb,,137,1.536,0.75,us,us20005kab,2016-04-20 21:53:13.367,"10km ESE of Muisne, Ecuador",earthquake,7.1,5.5,0.05,126,reviewed,us,us
2016-04-20 20:44:41.420,2.3493,96.2217,33.44,4.9,mb,,134,1.705,0.66,us,us20005k9s,2016-04-20 22:12:53.493,"22km SW of Sinabang, Indonesia",earthquake,7.5,3.1,0.067,71,reviewed,us,us
2016-04-20 20:44:17.000,56.8423,-154.1416,46.2,2.5,ml,,,,0.21,ak,ak13488236,2016-04-21 02:09:01.156,"78km S of Larsen Bay, Alaska",earthquake,2.4,2.3,,,reviewed,ak,ak
2016-04-20 20:16:52.830,33.2495,131.4328,8.02,4.5,mb,,130,0.482,0.56,us,us20005k9h,2016-04-20 22:23:41.457,"6km WSW of Beppu, Japan",earthquake,4.8,6.3,0.156,12,reviewed,us,us
2016-04-20 20:13:01.640,13.0023,-88.7238,61.52,4.5,mb,,152,0.841,1.11,us,us20005k9e,2016-04-20 21:58:10.343,"36km SSW of Puerto El  riunfo, El Salvador",earthquake,7.2,8.2,0.045,145,reviewed,us,us
2016-04-20 19:51:32.230,35.0308333,-116.9135,2.99,2.74,ml,30,62,0.1696,0.13,ci,ci37551904,2016-04-20 20:44:31.892,"18km NE of Barstow, CA",earthquake,0.15,0.64,0.131,139,reviewed,ci,ci
2016-04-20 19:36:15.450,-12.4881,166.5186,61.33,4.6,mb,,145,3.015,0.83,us,us20005k96,2016-04-20 20:47:03.740,"190km NW of Sola, Vanuatu",earthquake,11.5,8.1,0.094,34,reviewed,us,us
2016-04-20 19:35:43.000,57.0624,-157.8463,3.8,3.5,ml,,,,1.64,ak,ak13488117,2016-04-21 02:08:49.291,"105km NNE of Chignik Lake, Alaska",earthquake,1,1.5,,,reviewed,ak,ak
2016-04-20 17:31:18.860,-2.1971,100.5516,65.94,4.5,mb,,188,2.553,0.83,us,us20005k8b,2016-04-20 20:37:41.517,"93km W of Sungaipenuh, Indonesia",earthquake,7.7,9.1,0.106,26,reviewed,us,us
